_id,URL,title,date,content,Official media,author,media,account,Internet news license,Commercial media,chunk_id,original_id,chunk_size
66c4ba164fd1fd0e3c30e535,,中国十大雌性城市！,2024-01-31,：,0,夏言,9,正商参阅,0,1,66c4ba164fd1fd0e3c30e535_112,66c4ba164fd1fd0e3c30e535,1
66c4ba164fd1fd0e3c30e536,,中国人口大迁移：3000县全景呈现,2024-02-10,、,0,任泽平,22,正商阅读,0,1,66c4ba164fd1fd0e3c30e536_47,66c4ba164fd1fd0e3c30e536,1
66c4ba164fd1fd0e3c30e536,,中国人口大迁移：3000县全景呈现,2024-02-10,、,0,任泽平,22,正商阅读,0,1,66c4ba164fd1fd0e3c30e536_61,66c4ba164fd1fd0e3c30e536,1
66c4ba164fd1fd0e3c30e536,,中国人口大迁移：3000县全景呈现,2024-02-10,、,0,任泽平,22,正商阅读,0,1,66c4ba164fd1fd0e3c30e536_102,66c4ba164fd1fd0e3c30e536,1
66c4ba164fd1fd0e3c30e538,,这位曾任国家领导人的老台胞走了，晚年成了“文坛新秀”,2024-01-29,，,1,黄卫,10,中国新闻周刊,1,0,66c4ba164fd1fd0e3c30e538_34,66c4ba164fd1fd0e3c30e538,1
66c4ba164fd1fd0e3c30e538,,这位曾任国家领导人的老台胞走了，晚年成了“文坛新秀”,2024-01-29,▼,1,黄卫,10,中国新闻周刊,1,0,66c4ba164fd1fd0e3c30e538_95,66c4ba164fd1fd0e3c30e538,1
66c4ba164fd1fd0e3c30e538,,这位曾任国家领导人的老台胞走了，晚年成了“文坛新秀”,2024-01-29,▼,1,黄卫,10,中国新闻周刊,1,0,66c4ba164fd1fd0e3c30e538_96,66c4ba164fd1fd0e3c30e538,1
66c4ba164fd1fd0e3c30e53a,,国台办：强烈谴责！,2024-02-14,▼,1,央视中文国际,3,CCTV4,0,0,66c4ba164fd1fd0e3c30e53a_10,66c4ba164fd1fd0e3c30e53a,1
66c4ba164fd1fd0e3c30e53e,,内定的台湾省委书记,2024-02-09,.............................................,0,原創,11,国魂,0,1,66c4ba164fd1fd0e3c30e53e_1,66c4ba164fd1fd0e3c30e53e,45
66c4ba164fd1fd0e3c30e53e,,内定的台湾省委书记,2024-02-09,.............................................,0,原創,11,国魂,0,1,66c4ba164fd1fd0e3c30e53e_2,66c4ba164fd1fd0e3c30e53e,45
66c4ba164fd1fd0e3c30e53e,,内定的台湾省委书记,2024-02-09,.............................................,0,原創,11,国魂,0,1,66c4ba164fd1fd0e3c30e53e_4,66c4ba164fd1fd0e3c30e53e,45
66c4ba164fd1fd0e3c30e53e,,内定的台湾省委书记,2024-02-09,.............................................,0,原創,11,国魂,0,1,66c4ba164fd1fd0e3c30e53e_5,66c4ba164fd1fd0e3c30e53e,45
66c4ba164fd1fd0e3c30e53e,,内定的台湾省委书记,2024-02-09,.............................................,0,原創,11,国魂,0,1,66c4ba164fd1fd0e3c30e53e_8,66c4ba164fd1fd0e3c30e53e,45
66c4ba164fd1fd0e3c30e540,,台湾伪“海巡署”造成中国大陆渔民两人死亡！渔民到底越了什么“界”？,2024-02-16,‍,0,我是军武菌,29,军武次位面,0,1,66c4ba164fd1fd0e3c30e540_88,66c4ba164fd1fd0e3c30e540,1
66c4ba164fd1fd0e3c30e541,,台媒炒作大陆“穿岛气球”？其实台湾才是始作俑者！,2024-02-13,‍,0,我是军武菌,33,军武次位面,0,1,66c4ba164fd1fd0e3c30e541_2,66c4ba164fd1fd0e3c30e541,1
66c4ba164fd1fd0e3c30e546,,早啊！新闻来了〔2024.02.20〕,2024-02-20,○,1,原創,11,央视新闻,0,0,66c4ba164fd1fd0e3c30e546_2,66c4ba164fd1fd0e3c30e546,1
66c4ba164fd1fd0e3c30e546,,早啊！新闻来了〔2024.02.20〕,2024-02-20,○,1,原創,11,央视新闻,0,0,66c4ba164fd1fd0e3c30e546_4,66c4ba164fd1fd0e3c30e546,1
66c4ba164fd1fd0e3c30e546,,早啊！新闻来了〔2024.02.20〕,2024-02-20,/,1,原創,11,央视新闻,0,0,66c4ba164fd1fd0e3c30e546_30,66c4ba164fd1fd0e3c30e546,1
66c4ba164fd1fd0e3c30e547,,原创丨重大机会：台湾威胁开炮！福建海警强制登船检查！乌克兰和中东都有大消息！,2024-02-20,：,0,占豪,8,占豪,0,1,66c4ba164fd1fd0e3c30e547_9,66c4ba164fd1fd0e3c30e547,1
66c4ba164fd1fd0e3c30e547,,原创丨重大机会：台湾威胁开炮！福建海警强制登船检查！乌克兰和中东都有大消息！,2024-02-20,：,0,占豪,8,占豪,0,1,66c4ba164fd1fd0e3c30e547_11,66c4ba164fd1fd0e3c30e547,1
66c4ba164fd1fd0e3c30e549,,中国人口大迁移：3000县全景呈现,2024-02-10,、,0,任泽平,22,正商阅读,0,1,66c4ba164fd1fd0e3c30e549_47,66c4ba164fd1fd0e3c30e549,1
66c4ba164fd1fd0e3c30e549,,中国人口大迁移：3000县全景呈现,2024-02-10,、,0,任泽平,22,正商阅读,0,1,66c4ba164fd1fd0e3c30e549_61,66c4ba164fd1fd0e3c30e549,1
66c4ba164fd1fd0e3c30e549,,中国人口大迁移：3000县全景呈现,2024-02-10,、,0,任泽平,22,正商阅读,0,1,66c4ba164fd1fd0e3c30e549_102,66c4ba164fd1fd0e3c30e549,1
66c4ba164fd1fd0e3c30e54c,,开店1年，营业额10000000元,2024-02-18,▼,1,贾诗卉,8,中国新闻周刊,1,0,66c4ba164fd1fd0e3c30e54c_65,66c4ba164fd1fd0e3c30e54c,1
66c4ba164fd1fd0e3c30e54f,,来了！新闻早班车,2024-02-26,。,1,原創,11,人民日报,1,0,66c4ba164fd1fd0e3c30e54f_27,66c4ba164fd1fd0e3c30e54f,1
66c4ba164fd1fd0e3c30e557,,国台办：2名金门遇险人员中，1人已被送返,2024-03-22,▼,1,央视中文国际,3,CCTV4,0,0,66c4ba164fd1fd0e3c30e557_11,66c4ba164fd1fd0e3c30e557,1
66c4ba164fd1fd0e3c30e558,,国台办：坚决支持,2024-03-15,▼,1,央视中文国际,4,CCTV4,0,0,66c4ba164fd1fd0e3c30e558_18,66c4ba164fd1fd0e3c30e558,1
66c4ba164fd1fd0e3c30e559,,“无情、无义、无理”！,2024-03-13,▼,1,央视中文国际,4,CCTV4,0,0,66c4ba164fd1fd0e3c30e559_21,66c4ba164fd1fd0e3c30e559,1
66c4ba164fd1fd0e3c30e55a,,福建海警在金门附近海域执法巡查,2024-02-25,▼,1,央视中文国际,6,CCTV4,0,0,66c4ba164fd1fd0e3c30e55a_8,66c4ba164fd1fd0e3c30e55a,1
66c4ba164fd1fd0e3c30e55b,,国台办：泉州红会将派员陪同家属赴金门处理渔船事件善后,2024-02-19,▼,1,央视中文国际,3,CCTV4,0,0,66c4ba164fd1fd0e3c30e55b_9,66c4ba164fd1fd0e3c30e55b,1
66c4ba164fd1fd0e3c30e55c,,国台办：强烈谴责！,2024-02-14,▼,1,央视中文国际,3,CCTV4,0,0,66c4ba164fd1fd0e3c30e55c_10,66c4ba164fd1fd0e3c30e55c,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_6,66c4ba164fd1fd0e3c30e566,2
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_7,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_8,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_10,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_11,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_12,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_13,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_14,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_15,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_16,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_17,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_18,66c4ba164fd1fd0e3c30e566,1
66c4ba164fd1fd0e3c30e566,,国台办：获救吴姓男子22日送返金门,2024-03-22,‍,1,原創,8,环球网,1,0,66c4ba164fd1fd0e3c30e566_19,66c4ba164fd1fd0e3c30e566,1
